code,date,high,low,mid,last,bid,ask,volume
ZRXUSD,10/25/23,0.255,0.23526,0.24923,0.24887,0.24907,0.24939,292396.9107
ZRXUSD,10/24/23,0.2444,0.2246,0.236305,0.23634,0.23617,0.23644,416253.258
ZRXUSD,10/23/23,0.23233,0.2154,0.22978,0.22909,0.22868,0.23088,449987.9375
ZRXUSD,10/22/23,0.22799,0.21622,0.22165,0.22135,0.22156,0.22174,257839.7143
ZRXUSD,10/21/23,0.23284,0.21301,0.224715,0.22474,0.22466,0.22477,354694.5746
ZRXUSD,10/20/23,0.21642,0.2032,0.21374,0.21358,0.21353,0.21395,305956.8258
ZRXUSD,10/19/23,0.2302,0.20572,0.20799,0.20792,0.2079,0.20808,452371.1393
ZRXUSD,10/18/23,0.26433,0.2244,0.229425,0.22893,0.22919,0.22966,927974.5946
ZRXUSD,10/17/23,0.2684,0.23665,0.25393,0.25443,0.25364,0.25422,657846.5766
ZRXUSD,10/16/23,0.25396,0.21392,0.23811,0.23889,0.2378,0.23842,721355.1191
ZRXUSD,10/15/23,0.24462,0.21011,0.21785,0.21707,0.21773,0.21797,452643.2495
ZRXUSD,10/14/23,0.21349,0.19849,0.210405,0.21048,0.21023,0.21058,302516.2095
ZRXUSD,10/13/23,0.20638,0.18769,0.200695,0.2011,0.20058,0.20081,527965.431
ZRXUSD,10/12/23,0.19468,0.18515,0.18887,0.18854,0.18873,0.18901,35198.84153
ZRXUSD,10/11/23,0.20271,0.19067,0.194485,0.1944,0.19435,0.19462,155441.7225
ZRXUSD,10/10/23,0.20088,0.18695,0.191585,0.19165,0.19147,0.1917,371587.8248
ZRXUSD,10/9/23,0.21578,0.19153,0.194745,0.19467,0.19461,0.19488,560429.5143
ZRXUSD,10/8/23,0.2475,0.1846,0.21422,0.21302,0.21365,0.21479,1940098.586
ZRXUSD,10/7/23,0.18742,0.18304,0.18478,0.1848,0.1846,0.18496,19637.44908
ZRXUSD,10/6/23,0.18525,0.18062,0.184485,0.18464,0.18432,0.18465,6179.436998
ZRXUSD,10/5/23,0.18423,0.18019,0.181405,0.18168,0.18125,0.18156,27099.38741
ZRXUSD,10/4/23,0.18672,0.17537,0.183425,0.18318,0.18336,0.18349,490944.4909
ZRXUSD,10/3/23,0.19113,0.18508,0.186245,0.1866,0.18596,0.18653,8125.930156
ZRXUSD,10/2/23,0.1985,0.1875,0.18995,0.19017,0.18973,0.19017,43007.07326
ZRXUSD,10/1/23,0.19823,0.19092,0.19886,0.19823,0.1986,0.19912,16005.10681
ZRXUSD,9/30/23,0.19575,0.18997,0.191465,0.19168,0.19124,0.19169,2225.926464
ZRXUSD,9/29/23,0.19977,0.19485,0.19575,0.19571,0.19541,0.19609,13499.35
ZRXUSD,9/28/23,0.19607,0.18454,0.19659,0.19607,0.19626,0.19692,30526.21079
ZRXUSD,9/27/23,0.18834,0.1821,0.18566,0.1853,0.18538,0.18594,12208.00293
ZRXUSD,9/26/23,0.18431,0.18094,0.18246,0.1821,0.18221,0.18271,9399.130161
ZRXUSD,9/25/23,0.1874,0.18077,0.18379,0.18366,0.18366,0.18392,2811.095008
ZRXUSD,9/24/23,0.19063,0.18575,0.187055,0.18658,0.18683,0.18728,2941.7989
ZRXUSD,9/23/23,0.19191,0.18687,0.189295,0.18907,0.18907,0.18952,57711.21736
ZRXUSD,9/22/23,0.19,0.1837,0.18734,0.18699,0.18712,0.18756,7640.849793
ZRXUSD,9/21/23,0.19221,0.18,0.184015,0.18401,0.18379,0.18424,17189.91943
ZRXUSD,9/20/23,0.18432,0.17771,0.184105,0.18356,0.18393,0.18428,5515.07584
ZRXUSD,9/19/23,0.18563,0.17922,0.18226,0.18161,0.18196,0.18256,6099.023451
ZRXUSD,9/18/23,0.1868,0.17755,0.18337,0.1828,0.18316,0.18358,5492.956245
ZRXUSD,9/17/23,0.18979,0.17775,0.17944,0.1798,0.17923,0.17965,39408.48425
ZRXUSD,9/16/23,0.19488,0.18535,0.188775,0.18899,0.18855,0.189,11751.1784
ZRXUSD,9/15/23,0.19096,0.17918,0.190125,0.18923,0.18973,0.19052,70716.36541
ZRXUSD,9/14/23,0.18435,0.17242,0.181285,0.18181,0.1809,0.18167,677513.4842
ZRXUSD,9/13/23,0.17513,0.16384,0.174345,0.17454,0.17403,0.17466,51720.66025
ZRXUSD,9/12/23,0.1695,0.15767,0.164645,0.16457,0.16447,0.16482,67895.26202
ZRXUSD,9/11/23,0.16797,0.15573,0.158025,0.15829,0.15783,0.15822,5174.026629
ZRXUSD,9/10/23,0.17142,0.16486,0.167155,0.16744,0.16669,0.16762,14398.82485
ZRXUSD,9/9/23,0.17424,0.16874,0.1716,0.17156,0.1714,0.1718,9783.323196
ZRXUSD,9/8/23,0.17872,0.167,0.17439,0.17396,0.17418,0.1746,59550.899
ZRXUSD,9/7/23,0.17549,0.167,0.166945,0.167,0.16652,0.16737,36247.22881
ZRXUSD,9/6/23,0.17864,0.17115,0.175275,0.17519,0.1751,0.17545,12125.47025
ZRXUSD,9/5/23,0.17842,0.16738,0.17756,0.17761,0.17745,0.17767,21798.36422
ZRXUSD,9/4/23,0.17299,0.16435,0.16771,0.16767,0.16761,0.16781,58314.74591
ZRXUSD,9/3/23,0.17,0.16263,0.164575,0.16435,0.16446,0.16469,8540.924556
ZRXUSD,9/2/23,0.16355,0.16051,0.16306,0.16301,0.16292,0.1632,7362.256563
ZRXUSD,9/1/23,0.16627,0.16096,0.16231,0.16244,0.16216,0.16246,4130.20315
ZRXUSD,8/31/23,0.17432,0.16338,0.16535,0.165,0.1652,0.1655,15369.43179
ZRXUSD,8/30/23,0.17969,0.17268,0.17342,0.17318,0.17328,0.17356,3346.888814
ZRXUSD,8/29/23,0.18036,0.16604,0.17987,0.17949,0.17969,0.18005,17746.57952
ZRXUSD,8/28/23,0.17352,0.167,0.171455,0.17162,0.17129,0.17162,10631.22916
ZRXUSD,8/27/23,0.1727,0.16948,0.1716,0.1716,0.17141,0.17179,2955.989269
ZRXUSD,8/26/23,0.17447,0.1704,0.17147,0.1714,0.17129,0.17165,17206.63725
ZRXUSD,8/25/23,0.17364,0.16932,0.17266,0.17275,0.17249,0.17283,41195.87448
ZRXUSD,8/24/23,0.17769,0.17214,0.172875,0.17235,0.17267,0.17308,4048.275375
ZRXUSD,8/23/23,0.17958,0.17163,0.1772,0.17701,0.17701,0.17739,69417.37431
ZRXUSD,8/22/23,0.17481,0.1663,0.17217,0.17115,0.17189,0.17245,3750.123057
ZRXUSD,8/21/23,0.17931,0.17251,0.174645,0.17458,0.17448,0.17481,8026.478527
ZRXUSD,8/20/23,0.18045,0.17652,0.179525,0.17924,0.17924,0.17981,11275.92995
ZRXUSD,8/19/23,0.18113,0.17345,0.17719,0.17705,0.17705,0.17733,4346.161381
ZRXUSD,8/18/23,0.17423,0.16857,0.173555,0.17423,0.17339,0.17372,28390.78217
ZRXUSD,8/17/23,0.19426,0.15676,0.16769,0.16767,0.16741,0.16797,93727.5174
ZRXUSD,8/16/23,0.2123,0.18925,0.190135,0.18987,0.19001,0.19026,35109.42254
ZRXUSD,8/15/23,0.22547,0.20098,0.211465,0.2117,0.21128,0.21165,384340.1701
ZRXUSD,8/14/23,0.22682,0.21791,0.22501,0.225,0.22479,0.22523,34466.63854
ZRXUSD,8/13/23,0.22215,0.21515,0.218545,0.21815,0.2182,0.21889,26031.93758
ZRXUSD,8/12/23,0.21881,0.21186,0.218515,0.21828,0.21826,0.21877,22100.78822
ZRXUSD,8/11/23,0.2146,0.21127,0.21298,0.21247,0.21277,0.21319,21560.05772
ZRXUSD,8/10/23,0.21642,0.21071,0.21189,0.21219,0.21165,0.21213,39377.64982
ZRXUSD,8/9/23,0.21738,0.21383,0.215265,0.21454,0.21504,0.21549,15715.06063
ZRXUSD,8/8/23,0.21789,0.21019,0.215665,0.21525,0.21545,0.21588,41062.55709
ZRXUSD,8/7/23,0.23805,0.21089,0.21576,0.21617,0.2156,0.21592,22281.09065
ZRXUSD,8/6/23,0.22334,0.21383,0.21921,0.2193,0.21896,0.21946,15560.91671
ZRXUSD,8/5/23,0.21711,0.21085,0.21454,0.21463,0.21441,0.21467,3986.863145
ZRXUSD,8/4/23,0.22264,0.21371,0.216375,0.21645,0.21623,0.21652,3684.75162
ZRXUSD,8/3/23,0.22264,0.21702,0.220305,0.21967,0.22011,0.2205,940.7511654
ZRXUSD,8/2/23,0.22605,0.21663,0.22088,0.22082,0.22074,0.22102,6654.464089
ZRXUSD,8/1/23,0.21852,0.20749,0.21838,0.21791,0.21823,0.21853,10660.35906
ZRXUSD,7/31/23,0.22063,0.21371,0.2155,0.21515,0.21537,0.21563,50797.74131
ZRXUSD,7/30/23,0.2238,0.21227,0.215535,0.21566,0.21533,0.21574,3049.341427
ZRXUSD,7/29/23,0.22059,0.21434,0.220335,0.21998,0.22012,0.22055,14966.08358
ZRXUSD,7/28/23,0.21572,0.20769,0.214945,0.21486,0.2148,0.21509,13492.9336
ZRXUSD,7/27/23,0.21247,0.20694,0.208405,0.20841,0.20824,0.20857,13654.29517
ZRXUSD,7/26/23,0.21074,0.20419,0.208785,0.20866,0.20858,0.20899,6679.939077
ZRXUSD,7/25/23,0.20806,0.20398,0.207515,0.20735,0.20735,0.20768,18668.80129
ZRXUSD,7/24/23,0.2163,0.20408,0.206575,0.20642,0.20642,0.20673,19652.74857
ZRXUSD,7/23/23,0.21625,0.2068,0.21494,0.21527,0.21477,0.21511,40112.20685
ZRXUSD,7/22/23,0.21214,0.20821,0.20965,0.20955,0.20946,0.20984,18534.39613
ZRXUSD,7/21/23,0.2119,0.20422,0.2115,0.21132,0.21135,0.21165,51770.25856
ZRXUSD,7/20/23,0.21494,0.2036,0.20598,0.20595,0.20576,0.2062,219677.1293
ZRXUSD,7/19/23,0.22119,0.20946,0.21046,0.2101,0.2102,0.21072,138972.837
ZRXUSD,7/18/23,0.22403,0.20846,0.211105,0.21117,0.21074,0.21147,404711.9355
ZRXUSD,7/17/23,0.26214,0.21232,0.220805,0.22121,0.22056,0.22105,663204.086
ZRXUSD,7/16/23,0.22308,0.21241,0.213945,0.21416,0.21373,0.21416,97465.71497
ZRXUSD,7/15/23,0.24756,0.21645,0.222215,0.22218,0.22203,0.2224,338649.6642
ZRXUSD,7/14/23,0.23145,0.21216,0.21673,0.21687,0.21659,0.21687,131299.6066
ZRXUSD,7/13/23,0.22627,0.20599,0.224495,0.22404,0.22428,0.22471,198294.3872
ZRXUSD,7/12/23,0.21295,0.20702,0.20928,0.20896,0.20915,0.20941,39874.01853
ZRXUSD,7/11/23,0.20917,0.20202,0.20907,0.20917,0.20897,0.20917,62356.27168
ZRXUSD,7/10/23,0.20692,0.1951,0.202795,0.20267,0.20268,0.20291,247591.4743
ZRXUSD,7/9/23,0.2056,0.20088,0.2025,0.20279,0.20223,0.20277,35347.36643
ZRXUSD,7/8/23,0.21076,0.20052,0.20386,0.20369,0.20369,0.20403,17186.70817
ZRXUSD,7/7/23,0.21067,0.20252,0.20993,0.21005,0.20976,0.2101,158197.6301
ZRXUSD,7/6/23,0.22573,0.20494,0.20727,0.2075,0.2069,0.20764,332351.5806
ZRXUSD,7/5/23,0.25117,0.21543,0.22354,0.22336,0.22312,0.22396,424473.5904
ZRXUSD,7/4/23,0.21887,0.21267,0.21713,0.21637,0.21688,0.21738,102578.2284
ZRXUSD,7/3/23,0.2208,0.21353,0.218015,0.21847,0.21779,0.21824,96860.01287
ZRXUSD,7/2/23,0.22,0.21019,0.213925,0.21477,0.21367,0.21418,30911.78137
ZRXUSD,7/1/23,0.21648,0.207,0.21623,0.21624,0.21608,0.21638,92365.49492
ZRXUSD,6/30/23,0.214,0.20004,0.21324,0.21304,0.21284,0.21364,22624.97001
ZRXUSD,6/29/23,0.20311,0.19383,0.201935,0.20154,0.2017,0.20217,162691.6552
ZRXUSD,6/28/23,0.21925,0.19179,0.19692,0.19726,0.19664,0.1972,51457.25454
ZRXUSD,6/27/23,0.21894,0.20647,0.21712,0.21644,0.21692,0.21732,216979.8511
ZRXUSD,6/26/23,0.21322,0.2027,0.20645,0.20558,0.20625,0.20665,59713.00985
ZRXUSD,6/25/23,0.21666,0.20406,0.209525,0.20997,0.2093,0.20975,55298.15934
ZRXUSD,6/24/23,0.21758,0.20068,0.20424,0.20344,0.20406,0.20442,10022.89458
ZRXUSD,6/23/23,0.20626,0.1918,0.201775,0.20071,0.20149,0.20206,56792.99504
ZRXUSD,6/22/23,0.2,0.19078,0.192745,0.19318,0.19243,0.19306,40036.05657
ZRXUSD,6/21/23,0.19486,0.18358,0.194115,0.19395,0.1939,0.19433,274329.9325
ZRXUSD,6/20/23,0.18437,0.17582,0.18375,0.18364,0.18358,0.18392,15970.55943
ZRXUSD,6/19/23,0.17932,0.17442,0.178335,0.17829,0.17817,0.1785,12893.46131
ZRXUSD,6/18/23,0.17943,0.17428,0.17508,0.17506,0.17497,0.17519,6294.927906
ZRXUSD,6/17/23,0.18078,0.1736,0.17935,0.17916,0.17919,0.17951,13186.45571
ZRXUSD,6/16/23,0.17717,0.1699,0.17479,0.17463,0.17464,0.17494,7130.435898
ZRXUSD,6/15/23,0.17531,0.16565,0.17367,0.17354,0.17351,0.17383,2111.895689
ZRXUSD,6/14/23,0.17825,0.16796,0.169095,0.16887,0.16893,0.16926,10321.25945
ZRXUSD,6/13/23,0.1778,0.17114,0.173905,0.17366,0.17374,0.17407,75359.05254
ZRXUSD,6/12/23,0.17694,0.17096,0.17278,0.17261,0.17261,0.17295,29162.79164
ZRXUSD,6/11/23,0.18006,0.17155,0.177045,0.17769,0.17682,0.17727,211079.0485
ZRXUSD,6/10/23,0.19945,0.1335,0.175045,0.17531,0.17498,0.17511,957296.3342
ZRXUSD,6/9/23,0.20282,0.19651,0.199195,0.19933,0.19902,0.19937,26770.13472
ZRXUSD,6/8/23,0.20335,0.19787,0.200515,0.20101,0.20036,0.20067,37082.79551
ZRXUSD,6/7/23,0.21027,0.19786,0.199195,0.19873,0.199,0.19939,51441.98932
ZRXUSD,6/6/23,0.20939,0.19606,0.209235,0.20893,0.20906,0.20941,119930.5176
ZRXUSD,6/5/23,0.22314,0.19252,0.202495,0.20246,0.20231,0.20268,314642.4465
ZRXUSD,6/4/23,0.22411,0.21927,0.22321,0.22314,0.22307,0.22335,9871.824634
ZRXUSD,6/3/23,0.22589,0.21863,0.22034,0.22092,0.22018,0.2205,38695.0465
ZRXUSD,6/2/23,0.22169,0.21611,0.22082,0.22079,0.22069,0.22095,6072.322202
ZRXUSD,6/1/23,0.22594,0.21813,0.219525,0.21921,0.21939,0.21966,21173.51218
ZRXUSD,5/31/23,0.23246,0.2193,0.225615,0.22549,0.22547,0.22576,57502.90719
ZRXUSD,5/30/23,0.23262,0.22455,0.23154,0.23064,0.23114,0.23194,134460.9097
ZRXUSD,5/29/23,0.22986,0.2242,0.22587,0.22568,0.22569,0.22605,33382.23921
ZRXUSD,5/28/23,0.23014,0.21879,0.230685,0.23014,0.23031,0.23106,5514.319298
ZRXUSD,5/27/23,0.22113,0.21813,0.220655,0.21972,0.22041,0.2209,3267.785966
ZRXUSD,5/26/23,0.22033,0.21583,0.2198,0.2197,0.21957,0.22003,13918.7656
ZRXUSD,5/25/23,0.22171,0.2145,0.217415,0.21715,0.21718,0.21765,22576.94219
ZRXUSD,5/24/23,0.22753,0.21868,0.221495,0.22145,0.22132,0.22167,31387.03175
ZRXUSD,5/23/23,0.22716,0.21938,0.227395,0.22716,0.2272,0.22759,21353.67153
ZRXUSD,5/22/23,0.2234,0.21645,0.220975,0.22058,0.22077,0.22118,1805.858292
ZRXUSD,5/21/23,0.22906,0.21887,0.221205,0.22064,0.22097,0.22144,1833.459875
